edge	sum_in	sum_out
3036	70.5967	34.0302
3035	21.98	10.5952
1343	51.154	24.6581
2855	6.24679	3.01118
2101	33.0741	15.943
2551	7.03327	3.39029
2854	2.50313	3.36721
2102	6.29497	3.03441
2552	0.288901	0.463314
2853	0.420631	1.40307
2100	24.21	11.6701
2553	2.79356	6.16016
2852	3.35898	18.4838
958	29.9485	14.4363
992	11.4508	5.51973
2554	0.920316	2.87256
3003	16.8986	8.14575
3285	83.1264	40.07
991	1.91914	2.2174
2555	0.18028	0.903041
1148	47.5181	22.9055
2490	170.496	82.1851
539	107.163	51.6565
1974	177.683	85.6498
990	0.348768	1.11759
2550	0.107197	0.605246
2692	19.5716	9.43423
2983	85.4681	41.1988
158	159.162	76.7222
1091	36.7012	17.6913
1973	3.27436	1.57836
989	0.0144434	0.0863359
2694	0.20395	0.281604
1515	6.75923	3.2582
1956	11.8737	5.72359
2611	14.6303	7.05232
3349	19.79	9.53951
1092	1.36121	1.74901
1972	0.292896	0.292896
988	1.94395	9.11046
2693	0.181866	0.503132
1514	1.93448	2.24508
1955	43.6681	21.0496
2608	0.362943	0.608068
2703	69.6336	33.566
3101	100.326	48.3609
1089	0.383969	1.26076
1975	0.180239	0.0377359
987	1.13195	4.9211
2691	0.101627	0.543981
1513	8.60294	9.98422
2609	0.0830917	0.297578
2700	3.3979	4.35439
1775	113.399	54.6626
2744	5.94685	2.8666
1088	0.298335	2.10641
1971	0.898815	0.497544
2690	0.0554667	0.548928
1512	0.357235	1.18215
2610	0.0683307	0.264078
2701	0.367872	1.2335
1081	78.8995	38.0325
1479	62.1533	29.9602
2743	4.44706	2.14365
1090	0.182294	1.7762
907	4.65147	2.57484
983	1.11166	0.615366
2689	1.02989	9.67643
1511	0.317753	2.75923
2612	0.27763	0.706361
2702	0.142915	0.906153
1080	10.8985	14.0334
1824	73.7796	35.5645
2946	61.6229	29.7045
2745	48.3007	23.2827
1086	1.52943	6.05219
908	0.623795	0.345305
2607	0.508814	0.756254
2704	0.671407	4.99844
1079	0.196078	0.599679
1825	1.47612	2.45199
198	98.0092	47.2441
238	167.396	80.6911
2742	2.94782	4.15636
1087	0.112867	0.695152
906	2.76111	1.52843
3023	0.242982	0.361146
3364	0.47743	0.709608
2699	1.51781	7.52772
788	0.17227	0.526863
2087	0.380407	1.16342
1822	0.0622083	0.278488
197	12.0839	14.6205
952	37.7582	18.2009
3236	73.0715	35.2231
1085	0.0630133	0.536708
774	2.53073	1.4009
2544	3.2906	1.82153
3022	0.400902	0.89045
3363	0.938268	1.74111
787	0.011606	0.0904464
2086	0.769419	0.549837
1823	0.049421	0.274596
196	9.23512	22.5055
29	1.98519	0.956937
652	22.1442	10.6743
3237	4.76274	2.29582
770	0.405248	0.421685
2543	5.87759	3.25357
790	0.33679	3.10998
2056	0.0788387	0.0563392
2408	0.742587	0.530663
1826	0.173605	0.722112
195	0.918919	2.97329
28	66.3685	31.9921
650	14.5127	16.6248
3238	66.1778	31.9001
771	0.0317941	0.0380557
2118	0.49645	0.274812
2221	5.49969	3.04438
789	0.00544197	0.0788155
2055	0.166035	0.220441
2407	0.213133	0.29615
1827	0.0662616	0.357333
1152	1.50862	4.88135
2014	1.84061	5.95554
651	0.393772	1.13475
3235	6.24647	3.01103
772	0.0765079	0.0774911
2120	0.0696542	0.085064
2220	0.206431	0.114271
791	0.0253742	0.256801
2054	0.00397644	0.00797135
2406	0.0924431	0.214734
1821	0.0368199	0.200504
2062	0.826974	2.67579
2662	0.928237	3.00344
2013	1.33702	8.8485
649	0.179423	0.929537
285	37.2334	17.9479
2270	165.347	79.7036
773	0.0575909	0.0456391
2119	0.358946	0.458217
2219	0.276684	0.227058
794	0.167473	0.421385
2840	0.0739638	0.148271
3034	0.0763072	0.152969
2061	0.328067	1.49927
2661	1.39994	6.53727
746	1.15066	5.96125
1002	0.233145	1.20786
286	29.3538	38.8096
1071	55.8887	26.9404
3477	17.0344	8.21123
769	0.256573	0.184326
2117	1.03983	1.56563
259	3.93348	3.22796
1950	1.88252	1.54487
795	0.0336834	0.0955731
2839	0.0129408	0.0522691
2060	0.269304	1.01828
712	0.872572	4.07464
716	1.58247	7.38964
913	3.01708	15.6306
3150	1.01769	5.27234
284	0.62215	2.19514
184	15.2898	7.37023
3317	76.2869	36.7731
